date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:41:50	48205/48205	---M--	200	added ('OK')	image/png	etag:%221f61ef1-bc4d-4f75973fdb740%22	http://www.emeraldsunrooms.com/images/content/bottom/contact-img2.png	C:/xampp/htdocs/ESRLIVESITE/esrtest/www.emeraldsunrooms.com/images/content/bottom/contact-img2.png	(from http://www.emeraldsunrooms.com/)
23:41:51	47799/47799	---M--	200	added ('OK')	image/png	etag:%221f61ef2-bab7-4f75973fdb740%22	http://www.emeraldsunrooms.com/images/content/bottom/contact-img3.png	C:/xampp/htdocs/ESRLIVESITE/esrtest/www.emeraldsunrooms.com/images/content/bottom/contact-img3.png	(from http://www.emeraldsunrooms.com/)
23:41:53	19478/19478	---M--	200	added ('OK')	image/png	etag:%221f61e56-4c16-4f75970f38480%22	http://www.emeraldsunrooms.com/images/common/header_loglo.png	C:/xampp/htdocs/ESRLIVESITE/esrtest/www.emeraldsunrooms.com/images/common/header_loglo.png	(from http://www.emeraldsunrooms.com/)
23:42:05	85440/85440	---M--	200	added ('OK')	application/x-font-woff	etag:%221f61e22-14dc0-4f7596fe0dc00%22	http://www.emeraldsunrooms.com/styles/gothic.woff	C:/xampp/htdocs/ESRLIVESITE/esrtest/www.emeraldsunrooms.com/styles/gothic.woff	(from http://www.emeraldsunrooms.com/styles/styles.css)
23:42:13	137762/137762	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%221f61e20-21a22-4f7596fe0dc00%22	http://www.emeraldsunrooms.com/styles/gothic.eot	C:/xampp/htdocs/ESRLIVESITE/esrtest/www.emeraldsunrooms.com/styles/gothic.eot	(from http://www.emeraldsunrooms.com/styles/styles.css)
23:42:14	23030/23030	---M--	200	added ('OK')	image/svg+xml	etag:%221f61e1f-59f6-4f7596fd199c0%22	http://www.emeraldsunrooms.com/styles/gothic.svg	C:/xampp/htdocs/ESRLIVESITE/esrtest/www.emeraldsunrooms.com/styles/gothic.svg	(from http://www.emeraldsunrooms.com/styles/styles.css)
23:42:16	137568/137568	---M--	200	added ('OK')	application/x-font-ttf	etag:%221f61e1e-21960-4f7596fe0dc00%22	http://www.emeraldsunrooms.com/styles/gothic.ttf	C:/xampp/htdocs/ESRLIVESITE/esrtest/www.emeraldsunrooms.com/styles/gothic.ttf	(from http://www.emeraldsunrooms.com/styles/styles.css)
23:42:28	137762/137762	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%221f61e20-21a22-4f7596fe0dc00%22	http://www.emeraldsunrooms.com/styles/gothic.eot?	C:/xampp/htdocs/ESRLIVESITE/esrtest/www.emeraldsunrooms.com/styles/gothicd41d.eot	(from http://www.emeraldsunrooms.com/styles/styles.css)
23:42:29	79004/79004	---M--	200	added ('OK')	application/x-font-woff	etag:%221f61e26-1349c-4f7596ff01e40%22	http://www.emeraldsunrooms.com/styles/gothicb.woff	C:/xampp/htdocs/ESRLIVESITE/esrtest/www.emeraldsunrooms.com/styles/gothicb.woff	(from http://www.emeraldsunrooms.com/styles/styles.css)
23:42:34	129874/129874	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%221f61e23-1fb52-4f7596ff01e40%22	http://www.emeraldsunrooms.com/styles/gothicb.eot	C:/xampp/htdocs/ESRLIVESITE/esrtest/www.emeraldsunrooms.com/styles/gothicb.eot	(from http://www.emeraldsunrooms.com/styles/styles.css)
